h	r	t
9556440000000	0	100205
4710180000000	0	100314
4710320000000	0	110333
4710020000000	0	100311
4712600000000	0	110333
4710090000000	0	110108
22000167620	0	100101
4710010000000	0	120106
4903100000000	0	110117
4712160000000	0	110217
4902110000000	0	110401
4711270000000	0	110106
7616100000000	0	100436
4710890000000	0	110217
4710910000000	0	520423
4717360000000	0	760915
4712080000000	0	500301
4710110000000	0	500210
4712430000000	0	500201
4710250000000	0	110605
37000440147	0	100312
4901730000000	0	110401
9556000000000	0	110603
300411000000	0	530107
4714280000000	0	520457
20398576	0	520133
4710080000000	0	530110
4711710000000	0	520457
78698703015	0	720317
4710130000000	0	110114
5010420000000	0	560334
20452735	0	540224
20373849	0	540209
4718480000000	0	730704
4716550000000	0	520457
4973660000000	0	520316
4712990000000	0	501002
8801080000000	0	100218
3228020000000	0	130111
4710500000000	0	100428
4711040000000	0	300301
4715870000000	0	100103
89782019059	0	100216
4902750000000	0	100110
4738890000000	0	540209
4710050000000	0	100106
2100050000000	0	760227
21000767472	0	130109
4985640000000	0	100110
4713050000000	0	760541
4711410000000	0	110207
4710630000000	0	100507
4710970000000	0	100422
4710730000000	0	530209
20279431	0	520324
4710430000000	0	110601
4714500000000	0	510506
4710040000000	0	100443
4711690000000	0	130107
4710030000000	0	530107
4902400000000	0	110131
4710580000000	0	130106
20566067	0	760164
4710760000000	0	110305
4714690000000	0	731301
4710120000000	0	530205
4711610000000	0	130402
4712490000000	0	100213
4710360000000	0	120108
4710700000000	0	120112
5099830000000	0	530126
4710190000000	0	100303
4904510000000	0	110402
4711930000000	0	120110
4710170000000	0	100517
4710480000000	0	110604
8888420000000	0	100325
4901360000000	0	100205
614633000000	0	130305
4710310000000	0	530220
2250270000000	0	780510
4710460000000	0	780506
4710710000000	0	100310
4711190000000	0	100431
4897880000000	0	110402
381515000000	0	530110
4904640000000	0	530209
78895740042	0	110125
20421410	0	110410
4711590000000	0	130401
4712050000000	0	500105
4715890000000	0	530109
4711770000000	0	100208
4710470000000	0	530108
4710670000000	0	130308
4711570000000	0	130309
4987070000000	0	530504
4901300000000	0	530103
2250080000000	0	500501
4714980000000	0	130315
8851110000000	0	530103
4903070000000	0	110604
9310040000000	0	530105
4710070000000	0	100204
4711630000000	0	120203
4711520000000	0	120103
4711890000000	0	110136
4971880000000	0	560102
4903300000000	0	530105
4710490000000	0	530407
4710060000000	0	110509
20412074	0	130101
4715880000000	0	120203
4711760000000	0	100314
4717000000000	0	130109
4710520000000	0	110102
4711560000000	0	530401
4710290000000	0	500201
4891980000000	0	530105
4710300000000	0	530404
74261160506	0	110117
4710270000000	0	110217
4718090000000	0	510525
2270020000000	0	540109
4714620000000	0	100422
4710370000000	0	500303
8712050000000	0	560402
4713890000000	0	760308
4714080000000	0	760135
4710720000000	0	100503
4711130000000	0	100301
2270070000000	0	540213
4712030000000	0	110103
4710880000000	0	110117
20522285	0	510103
20515430	0	500509
4718430000000	0	500102
50000301829	0	100402
4716590000000	0	720504
28851030212	0	720402
5503020000000	0	760640
4718390000000	0	760614
4710820000000	0	100505
4711300000000	0	100307
4710740000000	0	100308
4014610000000	0	530105
4713240000000	0	720505
4719860000000	0	760132
8410660000000	0	110114
5025230000000	0	711305
4710540000000	0	100312
4718120000000	0	500901
4714240000000	0	120115
4716350000000	0	520472
4901330000000	0	100103
4711390000000	0	300712
4901010000000	0	100205
9556020000000	0	100418
20539207	0	320501
34000102112	0	100102
4714110000000	0	100503
4710100000000	0	500201
34000100095	0	100102
4711990000000	0	110103
4711620000000	0	560339
4711440000000	0	130316
8888020000000	0	712902
4711050000000	0	500307
4713210000000	0	100210
4902520000000	0	711310
4713690000000	0	540609
733879000000	0	760637
4714960000000	0	760637
4714540000000	0	760229
4714530000000	0	100414
8850160000000	0	100217
8850600000000	0	560334
4712070000000	0	100431
4710210000000	0	530301
4712280000000	0	100431
4975060000000	0	510539
7610050000000	0	560201
4716110000000	0	570302
4711790000000	0	570301
4710550000000	0	110110
4719090000000	0	120105
4715140000000	0	760657
8990060000000	0	560502
38000080203	0	100419
4973170000000	0	300605
7707950000000	0	100443
3061380000000	0	300424
4714060000000	0	530209
3600010000000	0	300422
4977080000000	0	300206
4710640000000	0	100205
4712390000000	0	760503
4901170000000	0	110305
4934570000000	0	100206
4715000000000	0	300203
9003580000000	0	500804
4710160000000	0	100201
4710680000000	0	530301
20555429	0	711321
4710690000000	0	110117
41736007284	0	110114
7231250000000	0	110501
4710560000000	0	110106
4014400000000	0	100106
4714850000000	0	500305
